yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	Status	yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
NM_009713		reviewed	NM_009713		P50428	ARSA_MOUSE	reviewed	Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase)	Arsa As2	Mus musculus (Mouse)	506
NM_009712		unreviewed	NM_009712		A0A0R4J138	A0A0R4J138_MOUSE	unreviewed	Arylsulfatase B	Arsb	Mus musculus (Mouse)	534
NM_009712		reviewed	NM_009712		P50429	ARSB_MOUSE	reviewed	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Arsb As1 As1-s	Mus musculus (Mouse)	534
NM_013463		unreviewed	NM_013463		Q3UM38	Q3UM38_MOUSE	unreviewed	Alpha-galactosidase (EC 3.2.1.-)	Gla	Mus musculus (Mouse)	421
NM_013463		unreviewed	NM_013463		Q8BGZ6	Q8BGZ6_MOUSE	unreviewed	Alpha-galactosidase (EC 3.2.1.-)	Gla	Mus musculus (Mouse)	421
NM_009752		reviewed	NM_009752		P23780	BGAL_MOUSE	reviewed	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase)	Glb1 Bgl Glb-1	Mus musculus (Mouse)	647
NM_009752		unreviewed	NM_009752		Q3TAW7	Q3TAW7_MOUSE	unreviewed	Beta-galactosidase (EC 3.2.1.23)	Glb1	Mus musculus (Mouse)	647
NM_010368		reviewed	NM_010368		P12265	BGLR_MOUSE	reviewed	Beta-glucuronidase (EC 3.2.1.31)	Gusb Gus Gus-s	Mus musculus (Mouse)	648
NM_152803		reviewed	NM_152803		Q6YGZ1	HPSE_MOUSE	reviewed	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	Hpse Hpa	Mus musculus (Mouse)	535
NM_001081257		reviewed	NM_001081257		B2RY83	HPSE2_MOUSE	reviewed	Inactive heparanase-2 (Hpa2)	Hpse2 Hpa2	Mus musculus (Mouse)	592
NM_010421		reviewed	NM_010421		P29416	HEXA_MOUSE	reviewed	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	Hexa	Mus musculus (Mouse)	528
NM_008317	NM_008317 -> Q91ZJ9-1	reviewed	NM_008317	NM_008317 -> Q91ZJ9-1	Q91ZJ9	HYAL1_MOUSE	reviewed	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1)	Hyal1	Mus musculus (Mouse)	462
NM_010489		reviewed	NM_010489		O35632	HYAL2_MOUSE	reviewed	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2)	Hyal2	Mus musculus (Mouse)	473
NM_010489		unreviewed	NM_010489		Q3UZE4	Q3UZE4_MOUSE	unreviewed	Hyaluronidase (EC 3.2.1.35) (Hyaluronoglucosaminidase)	Hyal2 mCG_18882	Mus musculus (Mouse)	473
